measured0,measured1,measured2,range0,range1,range2,range3,range4,range5,uuid,timestamp,range,measured,res
45,13,79,20,80,10,20,30,70,44342,2021-06-23 18:42:47,"[20, 80, 10, 20, 30, 70]","[45, 13, 79]",0
17,19,32,20,80,10,20,30,70,79236,2021-06-11 10:54:33,"[20, 80, 10, 20, 30, 70]","[17, 19, 32]",0
70,15,55,20,80,10,20,30,70,50454,2021-06-11 12:51:41,"[20, 80, 10, 20, 30, 70]","[70, 15, 55]",1
28,20,64,20,80,10,20,30,70,79007,2021-06-12 09:33:43,"[20, 80, 10, 20, 30, 70]","[28, 20, 64]",1
17,23,64,20,80,10,20,30,70,69451,2021-06-17 15:07:55,"[20, 80, 10, 20, 30, 70]","[17, 23, 64]",0
22,18,51,20,80,10,20,30,70,29913,2021-06-19 11:16:33,"[20, 80, 10, 20, 30, 70]","[22, 18, 51]",1
69,19,51,20,80,10,20,30,70,33748,2021-06-21 10:04:09,"[20, 80, 10, 20, 30, 70]","[69, 19, 51]",1
84,14,53,20,80,10,20,30,70,16600,2021-06-14 12:28:13,"[20, 80, 10, 20, 30, 70]","[84, 14, 53]",0
77,11,53,20,80,10,20,30,70,47340,2021-06-29 10:47:34,"[20, 80, 10, 20, 30, 70]","[77, 11, 53]",1
51,8,79,20,80,10,20,30,70,34927,2021-06-23 14:39:26,"[20, 80, 10, 20, 30, 70]","[51, 8, 79]",0
33,11,35,20,80,10,20,30,70,87821,2021-06-10 17:11:01,"[20, 80, 10, 20, 30, 70]","[33, 11, 35]",1
47,8,40,20,80,10,20,30,70,39349,2021-06-25 08:24:00,"[20, 80, 10, 20, 30, 70]","[47, 8, 40]",0
26,14,32,20,80,10,20,30,70,65684,2021-06-14 13:48:38,"[20, 80, 10, 20, 30, 70]","[26, 14, 32]",1
71,7,34,20,80,10,20,30,70,76992,2021-06-21 17:41:46,"[20, 80, 10, 20, 30, 70]","[71, 7, 34]",0
39,25,30,20,80,10,20,30,70,43778,2021-06-10 13:57:29,"[20, 80, 10, 20, 30, 70]","[39, 25, 30]",0
45,22,38,20,80,10,20,30,70,11294,2021-06-20 18:04:21,"[20, 80, 10, 20, 30, 70]","[45, 22, 38]",0
70,10,46,20,80,10,20,30,70,34067,2021-06-17 12:32:28,"[20, 80, 10, 20, 30, 70]","[70, 10, 46]",1
49,6,43,20,80,10,20,30,70,60626,2021-06-14 16:25:29,"[20, 80, 10, 20, 30, 70]","[49, 6, 43]",0
72,8,70,20,80,10,20,30,70,22217,2021-06-12 08:44:36,"[20, 80, 10, 20, 30, 70]","[72, 8, 70]",0
49,7,80,20,80,10,20,30,70,85874,2021-06-11 11:27:41,"[20, 80, 10, 20, 30, 70]","[49, 7, 80]",0
47,8,51,20,80,10,20,30,70,47169,2021-06-14 17:41:28,"[20, 80, 10, 20, 30, 70]","[47, 8, 51]",0
55,10,62,20,80,10,20,30,70,44790,2021-06-26 14:37:05,"[20, 80, 10, 20, 30, 70]","[55, 10, 62]",1
56,22,41,20,80,10,20,30,70,10674,2021-06-10 12:48:04,"[20, 80, 10, 20, 30, 70]","[56, 22, 41]",0
29,17,57,20,80,10,20,30,70,59552,2021-06-25 09:45:10,"[20, 80, 10, 20, 30, 70]","[29, 17, 57]",1
82,15,59,20,80,10,20,30,70,48867,2021-06-16 11:07:43,"[20, 80, 10, 20, 30, 70]","[82, 15, 59]",0
44,10,55,20,80,10,20,30,70,47436,2021-06-14 13:22:24,"[20, 80, 10, 20, 30, 70]","[44, 10, 55]",1
85,15,45,20,80,10,20,30,70,74521,2021-06-21 18:40:03,"[20, 80, 10, 20, 30, 70]","[85, 15, 45]",0
34,9,79,20,80,10,20,30,70,69739,2021-06-11 16:53:32,"[20, 80, 10, 20, 30, 70]","[34, 9, 79]",0
35,7,33,20,80,10,20,30,70,41968,2021-06-22 17:58:15,"[20, 80, 10, 20, 30, 70]","[35, 7, 33]",0
18,15,43,20,80,10,20,30,70,78010,2021-06-12 16:57:04,"[20, 80, 10, 20, 30, 70]","[18, 15, 43]",0
83,12,50,20,80,10,20,30,70,20707,2021-06-15 18:52:32,"[20, 80, 10, 20, 30, 70]","[83, 12, 50]",0
32,11,56,20,80,10,20,30,70,48279,2021-06-14 17:47:19,"[20, 80, 10, 20, 30, 70]","[32, 11, 56]",1
38,15,35,20,80,10,20,30,70,41063,2021-06-28 18:34:50,"[20, 80, 10, 20, 30, 70]","[38, 15, 35]",1
45,17,59,20,80,10,20,30,70,43024,2021-06-27 13:36:09,"[20, 80, 10, 20, 30, 70]","[45, 17, 59]",1
57,10,28,20,80,10,20,30,70,69122,2021-06-28 10:48:34,"[20, 80, 10, 20, 30, 70]","[57, 10, 28]",0
43,7,38,20,80,10,20,30,70,62023,2021-06-18 18:45:27,"[20, 80, 10, 20, 30, 70]","[43, 7, 38]",0
67,10,46,20,80,10,20,30,70,50857,2021-06-28 17:11:42,"[20, 80, 10, 20, 30, 70]","[67, 10, 46]",1
52,10,33,20,80,10,20,30,70,46129,2021-06-27 15:33:31,"[20, 80, 10, 20, 30, 70]","[52, 10, 33]",1
78,17,64,20,80,10,20,30,70,44713,2021-06-22 14:04:03,"[20, 80, 10, 20, 30, 70]","[78, 17, 64]",1
49,9,72,20,80,10,20,30,70,58925,2021-06-24 11:08:54,"[20, 80, 10, 20, 30, 70]","[49, 9, 72]",0
81,5,63,20,80,10,20,30,70,38262,2021-06-27 15:48:16,"[20, 80, 10, 20, 30, 70]","[81, 5, 63]",0
19,10,41,20,80,10,20,30,70,77563,2021-06-13 13:28:20,"[20, 80, 10, 20, 30, 70]","[19, 10, 41]",0
59,15,42,20,80,10,20,30,70,52550,2021-06-13 08:25:47,"[20, 80, 10, 20, 30, 70]","[59, 15, 42]",1
54,7,50,20,80,10,20,30,70,21375,2021-06-29 10:14:41,"[20, 80, 10, 20, 30, 70]","[54, 7, 50]",0
69,18,59,20,80,10,20,30,70,61912,2021-06-12 13:12:57,"[20, 80, 10, 20, 30, 70]","[69, 18, 59]",1
25,15,50,20,80,10,20,30,70,51898,2021-06-18 16:10:30,"[20, 80, 10, 20, 30, 70]","[25, 15, 50]",1
33,5,66,20,80,10,20,30,70,25386,2021-06-10 16:26:49,"[20, 80, 10, 20, 30, 70]","[33, 5, 66]",0
69,20,41,20,80,10,20,30,70,39060,2021-06-13 10:50:40,"[20, 80, 10, 20, 30, 70]","[69, 20, 41]",1
47,18,46,20,80,10,20,30,70,63811,2021-06-27 10:51:53,"[20, 80, 10, 20, 30, 70]","[47, 18, 46]",1
84,17,40,20,80,10,20,30,70,16814,2021-06-23 10:28:05,"[20, 80, 10, 20, 30, 70]","[84, 17, 40]",0
61,9,76,20,80,10,20,30,70,47049,2021-06-18 13:48:36,"[20, 80, 10, 20, 30, 70]","[61, 9, 76]",0
15,6,78,20,80,10,20,30,70,61528,2021-06-25 09:25:11,"[20, 80, 10, 20, 30, 70]","[15, 6, 78]",0
38,10,67,20,80,10,20,30,70,32509,2021-06-14 08:11:11,"[20, 80, 10, 20, 30, 70]","[38, 10, 67]",1
55,16,38,20,80,10,20,30,70,43652,2021-06-16 08:11:40,"[20, 80, 10, 20, 30, 70]","[55, 16, 38]",1
20,6,35,20,80,10,20,30,70,46113,2021-06-21 12:20:36,"[20, 80, 10, 20, 30, 70]","[20, 6, 35]",0
16,7,43,20,80,10,20,30,70,37141,2021-06-24 16:56:17,"[20, 80, 10, 20, 30, 70]","[16, 7, 43]",0
84,22,72,20,80,10,20,30,70,62327,2021-06-10 14:04:41,"[20, 80, 10, 20, 30, 70]","[84, 22, 72]",0
54,14,56,20,80,10,20,30,70,65696,2021-06-17 09:33:48,"[20, 80, 10, 20, 30, 70]","[54, 14, 56]",1
57,24,69,20,80,10,20,30,70,41304,2021-06-16 13:39:13,"[20, 80, 10, 20, 30, 70]","[57, 24, 69]",0
36,17,33,20,80,10,20,30,70,50179,2021-06-15 16:02:17,"[20, 80, 10, 20, 30, 70]","[36, 17, 33]",1
37,18,66,20,80,10,20,30,70,34148,2021-06-19 10:09:24,"[20, 80, 10, 20, 30, 70]","[37, 18, 66]",1
34,11,54,20,80,10,20,30,70,33347,2021-06-25 14:57:10,"[20, 80, 10, 20, 30, 70]","[34, 11, 54]",1
65,21,30,20,80,10,20,30,70,75341,2021-06-12 17:42:24,"[20, 80, 10, 20, 30, 70]","[65, 21, 30]",0
49,14,72,20,80,10,20,30,70,87168,2021-06-13 12:32:57,"[20, 80, 10, 20, 30, 70]","[49, 14, 72]",0
79,21,77,20,80,10,20,30,70,86724,2021-06-26 08:26:30,"[20, 80, 10, 20, 30, 70]","[79, 21, 77]",0
49,19,79,20,80,10,20,30,70,18558,2021-06-12 18:50:11,"[20, 80, 10, 20, 30, 70]","[49, 19, 79]",0
55,19,57,20,80,10,20,30,70,22635,2021-06-16 14:36:54,"[20, 80, 10, 20, 30, 70]","[55, 19, 57]",1
72,23,40,20,80,10,20,30,70,72491,2021-06-16 15:48:44,"[20, 80, 10, 20, 30, 70]","[72, 23, 40]",0
27,19,36,20,80,10,20,30,70,60588,2021-06-14 08:55:21,"[20, 80, 10, 20, 30, 70]","[27, 19, 36]",1
19,8,41,20,80,10,20,30,70,80218,2021-06-20 08:46:46,"[20, 80, 10, 20, 30, 70]","[19, 8, 41]",0
78,25,55,20,80,10,20,30,70,20463,2021-06-16 15:14:40,"[20, 80, 10, 20, 30, 70]","[78, 25, 55]",0
56,11,47,20,80,10,20,30,70,52270,2021-06-24 10:41:10,"[20, 80, 10, 20, 30, 70]","[56, 11, 47]",1
78,7,63,20,80,10,20,30,70,76627,2021-06-19 14:47:07,"[20, 80, 10, 20, 30, 70]","[78, 7, 63]",0
38,10,45,20,80,10,20,30,70,26476,2021-06-11 16:39:10,"[20, 80, 10, 20, 30, 70]","[38, 10, 45]",1
67,23,50,20,80,10,20,30,70,19642,2021-06-13 10:20:47,"[20, 80, 10, 20, 30, 70]","[67, 23, 50]",0
16,14,49,20,80,10,20,30,70,57657,2021-06-10 10:00:46,"[20, 80, 10, 20, 30, 70]","[16, 14, 49]",0
39,7,41,20,80,10,20,30,70,45944,2021-06-24 08:55:41,"[20, 80, 10, 20, 30, 70]","[39, 7, 41]",0
78,10,64,20,80,10,20,30,70,40763,2021-06-12 16:35:00,"[20, 80, 10, 20, 30, 70]","[78, 10, 64]",1
68,17,73,20,80,10,20,30,70,15459,2021-06-15 10:09:16,"[20, 80, 10, 20, 30, 70]","[68, 17, 73]",0
22,18,62,20,80,10,20,30,70,11521,2021-06-18 09:57:51,"[20, 80, 10, 20, 30, 70]","[22, 18, 62]",1
58,24,73,20,80,10,20,30,70,21515,2021-06-28 10:43:32,"[20, 80, 10, 20, 30, 70]","[58, 24, 73]",0
15,11,63,20,80,10,20,30,70,46363,2021-06-12 13:04:46,"[20, 80, 10, 20, 30, 70]","[15, 11, 63]",0
74,21,32,20,80,10,20,30,70,81881,2021-06-29 12:24:28,"[20, 80, 10, 20, 30, 70]","[74, 21, 32]",0
39,20,50,20,80,10,20,30,70,78621,2021-06-23 15:19:25,"[20, 80, 10, 20, 30, 70]","[39, 20, 50]",1
54,10,62,20,80,10,20,30,70,15760,2021-06-29 11:49:04,"[20, 80, 10, 20, 30, 70]","[54, 10, 62]",1
46,5,33,20,80,10,20,30,70,75942,2021-06-23 13:39:34,"[20, 80, 10, 20, 30, 70]","[46, 5, 33]",0
85,10,79,20,80,10,20,30,70,17966,2021-06-18 11:37:15,"[20, 80, 10, 20, 30, 70]","[85, 10, 79]",0
34,13,69,20,80,10,20,30,70,84351,2021-06-24 09:13:59,"[20, 80, 10, 20, 30, 70]","[34, 13, 69]",1
19,6,28,20,80,10,20,30,70,24550,2021-06-13 12:08:20,"[20, 80, 10, 20, 30, 70]","[19, 6, 28]",0
71,7,46,20,80,10,20,30,70,32371,2021-06-25 08:17:32,"[20, 80, 10, 20, 30, 70]","[71, 7, 46]",0
75,8,58,20,80,10,20,30,70,23888,2021-06-19 14:49:36,"[20, 80, 10, 20, 30, 70]","[75, 8, 58]",0
37,17,74,20,80,10,20,30,70,39573,2021-06-23 11:59:19,"[20, 80, 10, 20, 30, 70]","[37, 17, 74]",0
85,9,79,20,80,10,20,30,70,88930,2021-06-24 10:08:59,"[20, 80, 10, 20, 30, 70]","[85, 9, 79]",0
36,22,51,20,80,10,20,30,70,73239,2021-06-21 16:24:20,"[20, 80, 10, 20, 30, 70]","[36, 22, 51]",0
27,23,72,20,80,10,20,30,70,86482,2021-06-22 14:46:47,"[20, 80, 10, 20, 30, 70]","[27, 23, 72]",0
62,15,66,20,80,10,20,30,70,65703,2021-06-22 08:48:17,"[20, 80, 10, 20, 30, 70]","[62, 15, 66]",1
78,24,73,20,80,10,20,30,70,49848,2021-06-10 12:42:51,"[20, 80, 10, 20, 30, 70]","[78, 24, 73]",0
47,5,32,20,80,10,20,30,70,51257,2021-06-14 16:01:40,"[20, 80, 10, 20, 30, 70]","[47, 5, 32]",0
51,20,74,20,80,10,20,30,70,84434,2021-06-14 15:23:43,"[20, 80, 10, 20, 30, 70]","[51, 20, 74]",0
31,14,59,20,80,10,20,30,70,82973,2021-06-26 15:05:15,"[20, 80, 10, 20, 30, 70]","[31, 14, 59]",1
37,19,53,20,80,10,20,30,70,89384,2021-06-18 12:43:52,"[20, 80, 10, 20, 30, 70]","[37, 19, 53]",1
55,16,53,20,80,10,20,30,70,78422,2021-06-26 12:06:23,"[20, 80, 10, 20, 30, 70]","[55, 16, 53]",1
26,14,55,20,80,10,20,30,70,35534,2021-06-16 09:27:24,"[20, 80, 10, 20, 30, 70]","[26, 14, 55]",1
61,10,70,20,80,10,20,30,70,77708,2021-06-17 17:06:01,"[20, 80, 10, 20, 30, 70]","[61, 10, 70]",1
39,15,68,20,80,10,20,30,70,78002,2021-06-14 16:00:45,"[20, 80, 10, 20, 30, 70]","[39, 15, 68]",1
15,19,79,20,80,10,20,30,70,22839,2021-06-19 18:29:03,"[20, 80, 10, 20, 30, 70]","[15, 19, 79]",0
25,23,48,20,80,10,20,30,70,59586,2021-06-26 13:36:57,"[20, 80, 10, 20, 30, 70]","[25, 23, 48]",0
37,6,33,20,80,10,20,30,70,49591,2021-06-25 17:25:28,"[20, 80, 10, 20, 30, 70]","[37, 6, 33]",0
41,23,45,20,80,10,20,30,70,77746,2021-06-24 17:23:21,"[20, 80, 10, 20, 30, 70]","[41, 23, 45]",0
82,20,36,20,80,10,20,30,70,27280,2021-06-29 12:14:00,"[20, 80, 10, 20, 30, 70]","[82, 20, 36]",0
35,15,31,20,80,10,20,30,70,77422,2021-06-21 17:31:20,"[20, 80, 10, 20, 30, 70]","[35, 15, 31]",1
71,5,61,20,80,10,20,30,70,21301,2021-06-28 17:10:28,"[20, 80, 10, 20, 30, 70]","[71, 5, 61]",0
32,8,52,20,80,10,20,30,70,47877,2021-06-20 15:04:44,"[20, 80, 10, 20, 30, 70]","[32, 8, 52]",0
21,15,29,20,80,10,20,30,70,44480,2021-06-27 17:22:37,"[20, 80, 10, 20, 30, 70]","[21, 15, 29]",0
47,22,68,20,80,10,20,30,70,45477,2021-06-20 18:30:35,"[20, 80, 10, 20, 30, 70]","[47, 22, 68]",0
68,13,73,20,80,10,20,30,70,43373,2021-06-22 16:28:37,"[20, 80, 10, 20, 30, 70]","[68, 13, 73]",0
61,16,33,20,80,10,20,30,70,85982,2021-06-10 11:21:51,"[20, 80, 10, 20, 30, 70]","[61, 16, 33]",1
53,7,51,20,80,10,20,30,70,43426,2021-06-16 14:51:03,"[20, 80, 10, 20, 30, 70]","[53, 7, 51]",0
19,5,43,20,80,10,20,30,70,82880,2021-06-18 10:45:23,"[20, 80, 10, 20, 30, 70]","[19, 5, 43]",0
46,25,49,20,80,10,20,30,70,20866,2021-06-24 08:14:55,"[20, 80, 10, 20, 30, 70]","[46, 25, 49]",0
64,21,30,20,80,10,20,30,70,26104,2021-06-13 09:15:32,"[20, 80, 10, 20, 30, 70]","[64, 21, 30]",0
77,6,29,20,80,10,20,30,70,61489,2021-06-22 15:10:10,"[20, 80, 10, 20, 30, 70]","[77, 6, 29]",0
56,5,39,20,80,10,20,30,70,50042,2021-06-24 11:01:47,"[20, 80, 10, 20, 30, 70]","[56, 5, 39]",0
80,10,64,20,80,10,20,30,70,74849,2021-06-13 10:22:54,"[20, 80, 10, 20, 30, 70]","[80, 10, 64]",1
67,16,46,20,80,10,20,30,70,40153,2021-06-15 16:52:33,"[20, 80, 10, 20, 30, 70]","[67, 16, 46]",1
47,10,44,20,80,10,20,30,70,46680,2021-06-17 17:12:46,"[20, 80, 10, 20, 30, 70]","[47, 10, 44]",1
58,16,44,20,80,10,20,30,70,49376,2021-06-24 10:59:34,"[20, 80, 10, 20, 30, 70]","[58, 16, 44]",1
26,12,47,20,80,10,20,30,70,12433,2021-06-22 11:11:29,"[20, 80, 10, 20, 30, 70]","[26, 12, 47]",1
50,5,47,20,80,10,20,30,70,72695,2021-06-26 13:14:18,"[20, 80, 10, 20, 30, 70]","[50, 5, 47]",0
47,21,79,20,80,10,20,30,70,87774,2021-06-27 12:18:10,"[20, 80, 10, 20, 30, 70]","[47, 21, 79]",0
22,23,44,20,80,10,20,30,70,21014,2021-06-20 14:02:29,"[20, 80, 10, 20, 30, 70]","[22, 23, 44]",0
61,22,56,20,80,10,20,30,70,20868,2021-06-16 10:40:41,"[20, 80, 10, 20, 30, 70]","[61, 22, 56]",0
65,11,65,20,80,10,20,30,70,41354,2021-06-14 11:05:48,"[20, 80, 10, 20, 30, 70]","[65, 11, 65]",1
54,17,47,20,80,10,20,30,70,44844,2021-06-23 08:23:55,"[20, 80, 10, 20, 30, 70]","[54, 17, 47]",1
38,24,37,20,80,10,20,30,70,54138,2021-06-14 17:50:33,"[20, 80, 10, 20, 30, 70]","[38, 24, 37]",0
65,8,80,20,80,10,20,30,70,70118,2021-06-17 15:27:31,"[20, 80, 10, 20, 30, 70]","[65, 8, 80]",0
84,12,70,20,80,10,20,30,70,84308,2021-06-12 15:24:37,"[20, 80, 10, 20, 30, 70]","[84, 12, 70]",0
38,5,76,20,80,10,20,30,70,65397,2021-06-18 08:05:06,"[20, 80, 10, 20, 30, 70]","[38, 5, 76]",0
54,11,52,20,80,10,20,30,70,89902,2021-06-22 10:57:00,"[20, 80, 10, 20, 30, 70]","[54, 11, 52]",1
17,9,57,20,80,10,20,30,70,75235,2021-06-16 08:38:45,"[20, 80, 10, 20, 30, 70]","[17, 9, 57]",0
79,15,63,20,80,10,20,30,70,87494,2021-06-21 18:35:17,"[20, 80, 10, 20, 30, 70]","[79, 15, 63]",1
69,8,58,20,80,10,20,30,70,34974,2021-06-25 12:43:55,"[20, 80, 10, 20, 30, 70]","[69, 8, 58]",0
44,17,68,20,80,10,20,30,70,47936,2021-06-14 14:45:22,"[20, 80, 10, 20, 30, 70]","[44, 17, 68]",1
52,6,64,20,80,10,20,30,70,17827,2021-06-18 10:03:48,"[20, 80, 10, 20, 30, 70]","[52, 6, 64]",0
57,19,73,20,80,10,20,30,70,62568,2021-06-27 16:41:37,"[20, 80, 10, 20, 30, 70]","[57, 19, 73]",0
28,5,50,20,80,10,20,30,70,33823,2021-06-29 09:21:15,"[20, 80, 10, 20, 30, 70]","[28, 5, 50]",0
23,19,44,20,80,10,20,30,70,71439,2021-06-18 18:43:55,"[20, 80, 10, 20, 30, 70]","[23, 19, 44]",1
37,14,32,20,80,10,20,30,70,33375,2021-06-21 14:22:11,"[20, 80, 10, 20, 30, 70]","[37, 14, 32]",1
27,17,47,20,80,10,20,30,70,79249,2021-06-18 15:33:43,"[20, 80, 10, 20, 30, 70]","[27, 17, 47]",1
84,17,29,20,80,10,20,30,70,11676,2021-06-16 13:50:25,"[20, 80, 10, 20, 30, 70]","[84, 17, 29]",0
51,10,45,20,80,10,20,30,70,27006,2021-06-17 17:34:04,"[20, 80, 10, 20, 30, 70]","[51, 10, 45]",1
42,8,73,20,80,10,20,30,70,37386,2021-06-13 12:33:57,"[20, 80, 10, 20, 30, 70]","[42, 8, 73]",0
56,22,46,20,80,10,20,30,70,60314,2021-06-24 18:06:57,"[20, 80, 10, 20, 30, 70]","[56, 22, 46]",0
15,11,42,20,80,10,20,30,70,28767,2021-06-19 08:31:15,"[20, 80, 10, 20, 30, 70]","[15, 11, 42]",0
27,6,52,20,80,10,20,30,70,26607,2021-06-17 11:04:48,"[20, 80, 10, 20, 30, 70]","[27, 6, 52]",0
15,13,52,20,80,10,20,30,70,51602,2021-06-12 15:42:39,"[20, 80, 10, 20, 30, 70]","[15, 13, 52]",0
77,25,34,20,80,10,20,30,70,87400,2021-06-21 17:08:13,"[20, 80, 10, 20, 30, 70]","[77, 25, 34]",0
16,12,40,20,80,10,20,30,70,25010,2021-06-24 10:16:17,"[20, 80, 10, 20, 30, 70]","[16, 12, 40]",0
74,7,69,20,80,10,20,30,70,34864,2021-06-15 17:59:11,"[20, 80, 10, 20, 30, 70]","[74, 7, 69]",0
47,16,70,20,80,10,20,30,70,67396,2021-06-21 18:37:14,"[20, 80, 10, 20, 30, 70]","[47, 16, 70]",1
74,18,53,20,80,10,20,30,70,63295,2021-06-17 18:00:42,"[20, 80, 10, 20, 30, 70]","[74, 18, 53]",1
57,15,53,20,80,10,20,30,70,70261,2021-06-22 10:04:26,"[20, 80, 10, 20, 30, 70]","[57, 15, 53]",1
85,23,67,20,80,10,20,30,70,84752,2021-06-25 14:10:48,"[20, 80, 10, 20, 30, 70]","[85, 23, 67]",0
76,10,68,20,80,10,20,30,70,72144,2021-06-11 10:01:15,"[20, 80, 10, 20, 30, 70]","[76, 10, 68]",1
39,10,68,20,80,10,20,30,70,77331,2021-06-14 11:23:33,"[20, 80, 10, 20, 30, 70]","[39, 10, 68]",1
70,19,39,20,80,10,20,30,70,84590,2021-06-10 16:49:09,"[20, 80, 10, 20, 30, 70]","[70, 19, 39]",1
25,12,73,20,80,10,20,30,70,28873,2021-06-24 15:15:24,"[20, 80, 10, 20, 30, 70]","[25, 12, 73]",0
35,5,49,20,80,10,20,30,70,22890,2021-06-13 17:51:58,"[20, 80, 10, 20, 30, 70]","[35, 5, 49]",0
38,22,37,20,80,10,20,30,70,72921,2021-06-14 12:06:42,"[20, 80, 10, 20, 30, 70]","[38, 22, 37]",0
75,6,34,20,80,10,20,30,70,48464,2021-06-24 16:37:24,"[20, 80, 10, 20, 30, 70]","[75, 6, 34]",0
62,22,39,20,80,10,20,30,70,34891,2021-06-26 13:48:32,"[20, 80, 10, 20, 30, 70]","[62, 22, 39]",0
58,22,57,20,80,10,20,30,70,20272,2021-06-11 09:53:09,"[20, 80, 10, 20, 30, 70]","[58, 22, 57]",0
45,19,38,20,80,10,20,30,70,11351,2021-06-21 18:55:14,"[20, 80, 10, 20, 30, 70]","[45, 19, 38]",1
23,12,52,20,80,10,20,30,70,76190,2021-06-29 17:15:27,"[20, 80, 10, 20, 30, 70]","[23, 12, 52]",1
77,16,32,20,80,10,20,30,70,83057,2021-06-23 17:57:25,"[20, 80, 10, 20, 30, 70]","[77, 16, 32]",1
57,5,43,20,80,10,20,30,70,59459,2021-06-10 08:24:39,"[20, 80, 10, 20, 30, 70]","[57, 5, 43]",0
39,6,79,20,80,10,20,30,70,26764,2021-06-20 12:31:21,"[20, 80, 10, 20, 30, 70]","[39, 6, 79]",0
43,10,60,20,80,10,20,30,70,78836,2021-06-21 18:24:27,"[20, 80, 10, 20, 30, 70]","[43, 10, 60]",1
78,7,60,20,80,10,20,30,70,20445,2021-06-15 09:05:06,"[20, 80, 10, 20, 30, 70]","[78, 7, 60]",0
53,6,69,20,80,10,20,30,70,60487,2021-06-14 16:01:49,"[20, 80, 10, 20, 30, 70]","[53, 6, 69]",0
69,15,68,20,80,10,20,30,70,81562,2021-06-25 16:04:24,"[20, 80, 10, 20, 30, 70]","[69, 15, 68]",1
26,6,79,20,80,10,20,30,70,13914,2021-06-21 14:10:47,"[20, 80, 10, 20, 30, 70]","[26, 6, 79]",0
31,14,56,20,80,10,20,30,70,60885,2021-06-22 14:05:08,"[20, 80, 10, 20, 30, 70]","[31, 14, 56]",1
53,6,29,20,80,10,20,30,70,33556,2021-06-28 09:15:16,"[20, 80, 10, 20, 30, 70]","[53, 6, 29]",0
78,13,61,20,80,10,20,30,70,19314,2021-06-13 10:13:17,"[20, 80, 10, 20, 30, 70]","[78, 13, 61]",1
58,23,74,20,80,10,20,30,70,22586,2021-06-24 10:05:19,"[20, 80, 10, 20, 30, 70]","[58, 23, 74]",0
43,6,55,20,80,10,20,30,70,74588,2021-06-18 09:33:26,"[20, 80, 10, 20, 30, 70]","[43, 6, 55]",0
40,23,45,20,80,10,20,30,70,12932,2021-06-16 09:17:35,"[20, 80, 10, 20, 30, 70]","[40, 23, 45]",0
81,24,50,20,80,10,20,30,70,87776,2021-06-10 12:48:04,"[20, 80, 10, 20, 30, 70]","[81, 24, 50]",0
37,6,56,20,80,10,20,30,70,34321,2021-06-24 11:12:51,"[20, 80, 10, 20, 30, 70]","[37, 6, 56]",0
35,11,33,20,80,10,20,30,70,71091,2021-06-24 13:09:54,"[20, 80, 10, 20, 30, 70]","[35, 11, 33]",1
24,8,32,20,80,10,20,30,70,32905,2021-06-25 10:21:13,"[20, 80, 10, 20, 30, 70]","[24, 8, 32]",0
50,8,50,20,80,10,20,30,70,31913,2021-06-19 16:21:08,"[20, 80, 10, 20, 30, 70]","[50, 8, 50]",0
54,23,38,20,80,10,20,30,70,82960,2021-06-10 16:48:10,"[20, 80, 10, 20, 30, 70]","[54, 23, 38]",0
47,20,35,20,80,10,20,30,70,87480,2021-06-17 13:17:59,"[20, 80, 10, 20, 30, 70]","[47, 20, 35]",1
58,13,68,20,80,10,20,30,70,54761,2021-06-12 13:54:40,"[20, 80, 10, 20, 30, 70]","[58, 13, 68]",1
58,14,53,20,80,10,20,30,70,68188,2021-06-24 09:24:50,"[20, 80, 10, 20, 30, 70]","[58, 14, 53]",1
22,13,52,20,80,10,20,30,70,23913,2021-06-11 13:50:03,"[20, 80, 10, 20, 30, 70]","[22, 13, 52]",1
46,22,66,20,80,10,20,30,70,21459,2021-06-22 16:33:20,"[20, 80, 10, 20, 30, 70]","[46, 22, 66]",0
62,21,54,20,80,10,20,30,70,47792,2021-06-21 16:54:55,"[20, 80, 10, 20, 30, 70]","[62, 21, 54]",0
82,25,76,20,80,10,20,30,70,24911,2021-06-16 16:13:27,"[20, 80, 10, 20, 30, 70]","[82, 25, 76]",0
49,16,68,20,80,10,20,30,70,77761,2021-06-19 10:45:20,"[20, 80, 10, 20, 30, 70]","[49, 16, 68]",1
59,22,40,20,80,10,20,30,70,49721,2021-06-24 18:04:52,"[20, 80, 10, 20, 30, 70]","[59, 22, 40]",0
64,7,31,20,80,10,20,30,70,33613,2021-06-17 13:16:36,"[20, 80, 10, 20, 30, 70]","[64, 7, 31]",0
25,9,74,20,80,10,20,30,70,62787,2021-06-25 10:16:15,"[20, 80, 10, 20, 30, 70]","[25, 9, 74]",0
67,12,29,20,80,10,20,30,70,71759,2021-06-26 12:03:16,"[20, 80, 10, 20, 30, 70]","[67, 12, 29]",0
80,13,44,20,80,10,20,30,70,83787,2021-06-14 17:44:05,"[20, 80, 10, 20, 30, 70]","[80, 13, 44]",1
25,10,71,20,80,10,20,30,70,71014,2021-06-12 16:27:05,"[20, 80, 10, 20, 30, 70]","[25, 10, 71]",0
37,11,41,20,80,10,20,30,70,75988,2021-06-21 10:54:44,"[20, 80, 10, 20, 30, 70]","[37, 11, 41]",1
51,16,73,20,80,10,20,30,70,40024,2021-06-28 12:57:16,"[20, 80, 10, 20, 30, 70]","[51, 16, 73]",0
53,17,70,20,80,10,20,30,70,82897,2021-06-15 17:40:03,"[20, 80, 10, 20, 30, 70]","[53, 17, 70]",1
